Number,Hemisphere,Stage,Relative mean local field potential,Increase or decrease in sleep,Relative depth %,Relative standard deviation %
2,left,light,2.0,decrease,34.53454494309288%,2.5580090275482337%
2,left,light,4.0,decrease,8.41625559436849%,12.639414579416927%
2,left,light,6.0,increase,-9.84044972542225%,7.684848977984225%
2,left,light,10.0,decrease,9.76426540500516%,12.580604917517402%
2,left,light,2.0,decrease,0.182940543992977%,10.522965431851416%
2,left,rem,4.0,increase,-18.990546680023254%,18.60326826401313%
2,left,light,5.0,decrease,0.7203123451350023%,11.220875730977314%
2,left,light,5.0,increase,-5.7211325703854845%,3.6776860921951156%
2,left,deep,2.0,decrease,0.5061886450926344%,9.894928046743939%
2,left,light,8.0,decrease,7.397525010604138%,10.69409862906106%
2,left,light,2.0,increase,-10.508724131191501%,0.42651852376612087%
2,left,rem,7.0,decrease,8.283312798314183%,11.67842630852761%
2,left,deep,4.0,increase,-26.430311109823812%,5.243212248587194%
2,left,light,8.0,decrease,19.86578871735012%,14.61670722844329%
2,left,deep,3.0,decrease,5.845520865904684%,6.636276796064883%
2,left,deep,6.0,decrease,6.524922416122547%,8.898107683493734%
2,left,light,11.0,decrease,19.0081742557658%,19.17293798494546%
2,left,deep,2.0,increase,-3.4974048073861645%,7.082309573092606%
2,left,rem,11.0,increase,-13.259456091442287%,6.851265769234994%
2,left,light,7.0,increase,-0.32441881043286086%,22.72764296409543%
2,left,light,7.0,decrease,0.49273980413165086%,19.6383559467109%
2,left,light,3.0,decrease,0.33227489741962335%,5.813343578233215%
2,left,light,9.0,decrease,8.659360931826733%,15.142986240295079%
2,left,deep,3.0,increase,-14.253673891796367%,13.149878395245466%
2,left,light,2.0,decrease,2.43644289978379%,2.5712973861329003%
2,left,light,2.0,increase,-6.770732576628938%,12.51073568978322%
2,left,deep,5.0,increase,-4.8643891659791025%,7.66791420352763%
2,left,light,3.0,decrease,8.442972276170197%,12.954635231984682%
2,left,light,3.0,decrease,5.376693487472866%,5.63110622409235%
2,left,light,6.0,increase,-4.8969257220910665%,12.867087074177059%
2,left,light,5.0,increase,-14.156392923081768%,20.224324882851956%
2,left,restless,2.0,decrease,4.688834375059535%,2.562280563037168%
2,left,restless,6.0,increase,-4.181296883981312%,16.36982083277518%
2,left,restless,3.0,decrease,4.289007554671354%,4.61968122643511%
2,left,light,10.0,decrease,11.577461630750081%,24.25655945881808%
2,left,light,4.0,decrease,0.9800472310987783%,2.9183606136939066%
2,left,deep,3.0,increase,-20.4012768714857%,20.95080158730223%
2,left,light,3.0,decrease,0.6004749054716956%,2.783882181415011%
2,left,rem,4.0,decrease,1.679016391683531%,8.786400259872993%
2,left,rem,2.0,decrease,1.3421167828049754%,20.980091309930533%
2,left,light,6.0,increase,-0.3435172573737236%,8.409632545296947%
2,right,light,2.0,decrease,47.841741164944374%,3.243077784311766%
2,right,light,4.0,decrease,14.318380061461694%,9.200643424780196%
2,right,light,6.0,decrease,3.172803749071872%,9.528405136027136%
2,right,light,10.0,increase,-13.106099326662568%,24.097560843887997%
2,right,light,2.0,decrease,4.311764715705611%,11.491643626098544%
2,right,rem,4.0,increase,-22.794713451745704%,15.35549978451913%
2,right,light,5.0,decrease,6.560485066754536%,12.479346642477848%
2,right,light,5.0,decrease,17.350768809440194%,4.184920531233023%
2,right,deep,2.0,increase,-0.7241159025274398%,12.984677909615872%
2,right,light,8.0,decrease,15.756308849833085%,18.167958108991986%
2,right,light,2.0,increase,-27.97712036824767%,0.32979328357227145%
2,right,rem,7.0,decrease,10.6914409933859%,18.288757874371694%
2,right,deep,4.0,increase,-42.070786476495286%,20.254377625036984%
2,right,light,8.0,decrease,26.94549717110442%,13.782212302191516%
2,right,deep,3.0,decrease,11.338302252418876%,9.283693767178542%
2,right,deep,6.0,decrease,6.610735919515834%,10.944697385236221%
2,right,light,11.000000000000002,decrease,17.94794235140277%,20.558745907596677%
2,right,deep,2.0,increase,-5.767632880843833%,11.525932008991589%
2,right,rem,11.0,increase,-3.194939070122296%,9.374253006613447%
2,right,light,7.0,increase,-0.656313824034888%,23.783547437714144%
2,right,light,7.0,increase,-0.40864238939230096%,11.58265138477395%
2,right,light,3.0,increase,-0.4406233111973119%,6.107468910996498%
2,right,light,9.0,decrease,22.682481741562288%,17.458859832992463%
2,right,deep,3.0,increase,-17.68172166082799%,13.993163999941135%
2,right,light,2.0,decrease,0.9837510400816963%,2.0313121995453076%
2,right,light,2.0,increase,-5.932817652841142%,13.098681346940754%
2,right,deep,5.0,decrease,0.15736332229850367%,6.990650061939283%
